trial,day,time,thatpistimulus,pistimulus,correctside,session,feedside,proportion,feed,camera
1,1,9:05,0,0.png,B,1,both,0,TRUE,FALSE
2,1,9:05,0,0.png,B,1,both,0,TRUE,TRUE
3,1,11:05,0,0.png,B,2,both,0,TRUE,FALSE
4,1,11:05,0,0.png,B,2,both,0,TRUE,TRUE
5,1,13:05,0,0.png,B,3,both,0,TRUE,FALSE
6,1,13:05,0,0.png,B,3,both,0,TRUE,TRUE
7,1,15:05,0,0.png,B,4,both,0,TRUE,FALSE
8,1,15:05,0,0.png,B,4,both,0,TRUE,TRUE
9,1,17:05,0,0.png,B,5,both,0,TRUE,FALSE
10,1,17:05,0,0.png,B,5,both,0,TRUE,TRUE
11,2,9:05,0,0.png,B,1,both,0,TRUE,FALSE
12,2,9:05,0,0.png,B,1,both,0,TRUE,TRUE
13,2,11:05,0,0.png,B,2,both,0,TRUE,FALSE
14,2,11:05,0,0.png,B,2,both,0,TRUE,TRUE
15,2,13:05,0,0.png,B,3,both,0,TRUE,FALSE
16,2,13:05,0,0.png,B,3,both,0,TRUE,TRUE
17,2,15:05,0,0.png,B,4,both,0,TRUE,FALSE
18,2,15:05,0,0.png,B,4,both,0,TRUE,TRUE
19,2,17:05,0,0.png,B,5,both,0,TRUE,FALSE
20,2,17:05,0,0.png,B,5,both,0,TRUE,TRUE
21,3,9:05,10,5.png,L,1,left,50,TRUE,FALSE
22,3,9:05,5,10.png,L,1,left,50,FALSE,TRUE
23,3,11:05,6,12.png,R,2,right,50,FALSE,FALSE
24,3,11:05,12,6.png,R,2,right,50,TRUE,TRUE
25,3,13:05,6,12.png,R,3,right,50,FALSE,FALSE
26,3,13:05,12,6.png,R,3,right,50,TRUE,TRUE
27,3,15:05,10,5.png,L,4,left,50,TRUE,FALSE
28,3,15:05,5,10.png,L,4,left,50,FALSE,TRUE
29,3,17:05,5,10.png,R,5,right,50,FALSE,FALSE
30,3,17:05,10,5.png,R,5,right,50,TRUE,TRUE
31,4,9:05,12,6.png,L,1,left,50,TRUE,FALSE
32,4,9:05,6,12.png,L,1,left,50,FALSE,TRUE
33,4,11:05,5,10.png,R,2,right,50,FALSE,FALSE
34,4,11:05,10,5.png,R,2,right,50,TRUE,TRUE
35,4,13:05,12,6.png,L,3,left,50,TRUE,FALSE
36,4,13:05,6,12.png,L,3,left,50,FALSE,TRUE
37,4,15:05,5,10.png,R,4,right,50,FALSE,FALSE
38,4,15:05,10,5.png,R,4,right,50,TRUE,TRUE
39,4,17:05,12,6.png,L,5,left,50,TRUE,FALSE
40,4,17:05,6,12.png,L,5,left,50,FALSE,TRUE
41,5,9:05,6,12.png,R,1,right,50,FALSE,FALSE
42,5,9:05,12,6.png,R,1,right,50,TRUE,TRUE
43,5,11:05,10,5.png,L,2,left,50,TRUE,FALSE
44,5,11:05,5,10.png,L,2,left,50,FALSE,TRUE
45,5,13:05,10,5.png,L,3,left,50,TRUE,FALSE
46,5,13:05,5,10.png,L,3,left,50,FALSE,TRUE
47,5,15:05,6,12.png,R,4,right,50,FALSE,FALSE
48,5,15:05,12,6.png,R,4,right,50,TRUE,TRUE
49,5,17:05,10,5.png,L,5,left,50,TRUE,FALSE
50,5,17:05,5,10.png,L,5,left,50,FALSE,TRUE
51,6,9:05,5,10.png,R,1,right,50,FALSE,FALSE
52,6,9:05,10,5.png,R,1,right,50,TRUE,TRUE
53,6,11:05,12,6.png,L,2,left,50,TRUE,FALSE
54,6,11:05,6,12.png,L,2,left,50,FALSE,TRUE
55,6,13:05,5,10.png,R,3,right,50,FALSE,FALSE
56,6,13:05,10,5.png,R,3,right,50,TRUE,TRUE
57,6,15:05,12,6.png,L,4,left,50,TRUE,FALSE
58,6,15:05,6,12.png,L,4,left,50,FALSE,TRUE
59,6,17:05,5,10.png,R,5,right,50,FALSE,FALSE
60,6,17:05,10,5.png,R,5,right,50,TRUE,TRUE
61,7,9:05,10,5.png,L,1,left,50,TRUE,FALSE
